10 3
114 1 0
107 2 0
128 3 0
129 4 0
72 5 0
123 6 0
106 7 0
197 8 0
74 9 0
90 10 0
8 1 4 0
4 1 7 0
4 1 9 0
6 2 4 0
2 2 5 0
6 2 6 0
12 2 8 0
4 3 6 0
8 3 7 0
15 3 8 0
7 3 10 0
10 4 3 0
3 4 5 0
4 4 6 0
2 4 7 0
11 4 8 0
8 5 2 0
10 5 4 0
3 5 6 0
11 5 7 0
3 5 10 0
10 6 3 0
8 6 5 0
8 6 7 0
6 6 9 0
5 6 10 0
4 7 1 0
14 7 8 0
2 7 9 0
13 8 2 0
12 8 3 0
14 8 4 0
9 8 5 0
10 8 6 0
9 8 10 0
3 9 1 0
4 9 2 0
5 9 3 0
5 9 4 0
4 9 7 0
7 9 8 0
9 10 1 0
5 10 3 0
6 10 4 0
4 10 5 0
4 10 9 0
10 1 2 0
10 1 3 0
7 1 5 0
13 1 10 0
73 1 2 3 0
73 1 2 4 0
43 1 2 5 0
18 1 2 6 0
23 1 2 7 0
49 1 2 8 0
30 1 2 9 0
52 1 2 10 0
90 1 3 2 0
159 1 3 4 0
45 1 3 5 0
48 1 3 6 0
29 1 3 7 0
90 1 3 8 0
59 1 3 9 0
93 1 3 10 0
67 1 4 2 0
121 1 4 3 0
53 1 4 5 0
65 1 4 6 0
34 1 4 7 0
87 1 4 8 0
43 1 4 9 0
98 1 4 10 0
28 1 5 2 0
42 1 5 3 0
45 1 5 4 0
35 1 5 6 0
32 1 5 7 0
28 1 5 8 0
17 1 5 9 0
42 1 5 10 0
1 1 6 0
28 1 6 2 0
42 1 6 3 0
34 1 6 4 0
36 1 6 5 0
28 1 6 7 0
46 1 6 8 0
22 1 6 9 0
31 1 6 10 0
21 1 7 2 0
26 1 7 3 0
25 1 7 4 0
25 1 7 5 0
18 1 7 6 0
28 1 7 8 0
19 1 7 9 0
21 1 7 10 0
5 1 8 0
47 1 8 2 0
88 1 8 3 0
73 1 8 4 0
32 1 8 5 0
45 1 8 6 0
36 1 8 7 0
51 1 8 9 0
70 1 8 10 0
21 1 9 2 0
35 1 9 3 0
45 1 9 4 0
24 1 9 5 0
22 1 9 6 0
22 1 9 7 0
34 1 9 8 0
40 1 9 10 0
55 1 10 2 0
78 1 10 3 0
72 1 10 4 0
24 1 10 5 0
43 1 10 6 0
38 1 10 7 0
75 1 10 8 0
39 1 10 9 0
8 2 10 0
1 2 1 0
80 2 1 3 0
51 2 1 4 0
34 2 1 5 0
43 2 1 6 0
26 2 1 7 0
61 2 1 8 0
30 2 1 9 0
58 2 1 10 0
4 2 3 0
66 2 3 1 0
58 2 3 4 0
34 2 3 5 0
48 2 3 6 0
24 2 3 7 0
38 2 3 8 0
13 2 3 9 0
43 2 3 10 0
55 2 4 1 0
62 2 4 3 0
29 2 4 5 0
35 2 4 6 0
20 2 4 7 0
51 2 4 8 0
22 2 4 9 0
39 2 4 10 0
26 2 5 1 0
23 2 5 3 0
27 2 5 4 0
19 2 5 6 0
23 2 5 7 0
30 2 5 8 0
22 2 5 9 0
26 2 5 10 0
37 2 6 1 0
35 2 6 3 0
31 2 6 4 0
29 2 6 5 0
23 2 6 7 0
30 2 6 8 0
20 2 6 9 0
25 2 6 10 0
6 2 7 0
21 2 7 1 0
17 2 7 3 0
15 2 7 4 0
16 2 7 5 0
23 2 7 6 0
15 2 7 8 0
7 2 7 9 0
20 2 7 10 0
47 2 8 1 0
39 2 8 3 0
36 2 8 4 0
34 2 8 5 0
33 2 8 6 0
21 2 8 7 0
29 2 8 9 0
32 2 8 10 0
2 2 9 0
18 2 9 1 0
9 2 9 3 0
25 2 9 4 0
13 2 9 5 0
15 2 9 6 0
12 2 9 7 0
18 2 9 8 0
12 2 9 10 0
53 2 10 1 0
37 2 10 3 0
36 2 10 4 0
24 2 10 5 0
31 2 10 6 0
25 2 10 7 0
37 2 10 8 0
19 2 10 9 0
10 3 1 0
6 3 2 0
13 3 4 0
1 3 5 0
3 3 9 0
88 3 1 2 0
152 3 1 4 0
64 3 1 5 0
65 3 1 6 0
27 3 1 7 0
86 3 1 8 0
54 3 1 9 0
82 3 1 10 0
88 3 2 1 0
111 3 2 4 0
50 3 2 5 0
64 3 2 6 0
25 3 2 7 0
47 3 2 8 0
24 3 2 9 0
46 3 2 10 0
145 3 4 1 0
109 3 4 2 0
115 3 4 5 0
213 3 4 6 0
36 3 4 7 0
80 3 4 8 0
31 3 4 9 0
127 3 4 10 0
43 3 5 1 0
38 3 5 2 0
89 3 5 4 0
65 3 5 6 0
25 3 5 7 0
51 3 5 8 0
22 3 5 9 0
70 3 5 10 0
48 3 6 1 0
72 3 6 2 0
143 3 6 4 0
86 3 6 5 0
46 3 6 7 0
76 3 6 8 0
22 3 6 9 0
93 3 6 10 0
25 3 7 1 0
18 3 7 2 0
22 3 7 4 0
19 3 7 5 0
29 3 7 6 0
26 3 7 8 0
12 3 7 9 0
13 3 7 10 0
88 3 8 1 0
49 3 8 2 0
83 3 8 4 0
47 3 8 5 0
61 3 8 6 0
28 3 8 7 0
38 3 8 9 0
65 3 8 10 0
33 3 9 1 0
13 3 9 2 0
38 3 9 4 0
14 3 9 5 0
17 3 9 6 0
6 3 9 7 0
23 3 9 8 0
28 3 9 10 0
61 3 10 1 0
46 3 10 2 0
119 3 10 4 0
76 3 10 5 0
75 3 10 6 0
15 3 10 7 0
57 3 10 8 0
29 3 10 9 0
10 4 1 0
6 4 2 0
5 4 9 0
6 4 10 0
91 4 1 2 0
167 4 1 3 0
54 4 1 5 0
54 4 1 6 0
38 4 1 7 0
109 4 1 8 0
61 4 1 9 0
79 4 1 10 0
68 4 2 1 0
89 4 2 3 0
36 4 2 5 0
45 4 2 6 0
22 4 2 7 0
46 4 2 8 0
32 4 2 9 0
50 4 2 10 0
135 4 3 1 0
108 4 3 2 0
144 4 3 5 0
129 4 3 6 0
36 4 3 7 0
83 4 3 8 0
31 4 3 9 0
130 4 3 10 0
56 4 5 1 0
45 4 5 2 0
79 4 5 3 0
50 4 5 6 0
21 4 5 7 0
37 4 5 8 0
28 4 5 9 0
70 4 5 10 0
67 4 6 1 0
50 4 6 2 0
137 4 6 3 0
97 4 6 5 0
33 4 6 7 0
45 4 6 8 0
34 4 6 9 0
98 4 6 10 0
16 4 7 1 0
17 4 7 2 0
29 4 7 3 0
17 4 7 5 0
15 4 7 6 0
34 4 7 8 0
15 4 7 9 0
24 4 7 10 0
79 4 8 1 0
37 4 8 2 0
65 4 8 3 0
41 4 8 5 0
41 4 8 6 0
38 4 8 7 0
37 4 8 9 0
41 4 8 10 0
43 4 9 1 0
23 4 9 2 0
35 4 9 3 0
16 4 9 5 0
33 4 9 6 0
21 4 9 7 0
37 4 9 8 0
28 4 9 10 0
69 4 10 1 0
30 4 10 2 0
100 4 10 3 0
69 4 10 5 0
89 4 10 6 0
30 4 10 7 0
52 4 10 8 0
41 4 10 9 0
4 5 3 0
4 5 1 0
30 5 1 2 0
35 5 1 3 0
43 5 1 4 0
33 5 1 6 0
30 5 1 7 0
38 5 1 8 0
23 5 1 9 0
41 5 1 10 0
32 5 2 1 0
24 5 2 3 0
33 5 2 4 0
27 5 2 6 0
28 5 2 7 0
39 5 2 8 0
13 5 2 9 0
28 5 2 10 0
47 5 3 1 0
38 5 3 2 0
70 5 3 4 0
56 5 3 6 0
23 5 3 7 0
29 5 3 8 0
19 5 3 9 0
69 5 3 10 0
49 5 4 1 0
33 5 4 2 0
74 5 4 3 0
56 5 4 6 0
13 5 4 7 0
47 5 4 8 0
21 5 4 9 0
71 5 4 10 0
38 5 6 1 0
22 5 6 2 0
58 5 6 3 0
48 5 6 4 0
14 5 6 7 0
37 5 6 8 0
19 5 6 9 0
50 5 6 10 0
36 5 7 1 0
11 5 7 2 0
30 5 7 3 0
29 5 7 4 0
