10 2
174 1 0
56 2 0
85 3 0
91 4 0
100 5 0
180 6 0
65 7 0
155 8 0
177 9 0
176 10 0
7 1 8 0
14 1 9 0
5 2 1 0
3 2 10 0
11 3 1 0
5 3 2 0
6 3 4 0
5 3 6 0
5 3 8 0
6 3 9 0
10 3 10 0
11 4 1 0
7 4 3 0
6 4 6 0
9 4 9 0
6 5 1 0
8 5 6 0
8 5 7 0
6 5 9 0
12 5 10 0
8 6 3 0
8 6 4 0
23 6 10 0
11 7 1 0
8 7 5 0
3 7 9 0
7 7 10 0
5 8 2 0
15 8 6 0
8 8 7 0
8 9 3 0
17 9 6 0
10 9 8 0
11 10 1 0
12 10 2 0
5 10 3 0
7 10 5 0
20 10 6 0
11 10 7 0
13 10 9 0
8 1 2 0
13 1 4 0
10 1 7 0
7 1 10 0
67 1 2 3 0
78 1 2 4 0
23 1 2 5 0
55 1 2 6 0
50 1 2 7 0
50 1 2 8 0
55 1 2 9 0
40 1 2 10 0
5 1 3 0
58 1 3 2 0
109 1 3 4 0
33 1 3 5 0
62 1 3 6 0
38 1 3 7 0
40 1 3 8 0
40 1 3 9 0
45 1 3 10 0
79 1 4 2 0
132 1 4 3 0
119 1 4 5 0
158 1 4 6 0
93 1 4 7 0
96 1 4 8 0
49 1 4 9 0
63 1 4 10 0
2 1 5 0
24 1 5 2 0
24 1 5 3 0
54 1 5 4 0
61 1 5 6 0
56 1 5 7 0
45 1 5 8 0
33 1 5 9 0
42 1 5 10 0
6 1 6 0
45 1 6 2 0
45 1 6 3 0
82 1 6 4 0
98 1 6 5 0
86 1 6 7 0
90 1 6 8 0
71 1 6 9 0
82 1 6 10 0
37 1 7 2 0
38 1 7 3 0
64 1 7 4 0
53 1 7 5 0
76 1 7 6 0
66 1 7 8 0
50 1 7 9 0
53 1 7 10 0
26 1 8 2 0
34 1 8 3 0
63 1 8 4 0
49 1 8 5 0
68 1 8 6 0
65 1 8 7 0
52 1 8 9 0
61 1 8 10 0
36 1 9 2 0
36 1 9 3 0
40 1 9 4 0
27 1 9 5 0
52 1 9 6 0
41 1 9 7 0
60 1 9 8 0
65 1 9 10 0
39 1 10 2 0
39 1 10 3 0
65 1 10 4 0
35 1 10 5 0
77 1 10 6 0
50 1 10 7 0
62 1 10 8 0
79 1 10 9 0
6 2 3 0
4 2 4 0
8 2 9 0
22 2 1 3 0
32 2 1 4 0
17 2 1 5 0
18 2 1 6 0
21 2 1 7 0
21 2 1 8 0
26 2 1 9 0
23 2 1 10 0
23 2 3 1 0
16 2 3 4 0
9 2 3 5 0
17 2 3 6 0
21 2 3 7 0
12 2 3 8 0
20 2 3 9 0
17 2 3 10 0
16 2 4 1 0
16 2 4 3 0
10 2 4 5 0
10 2 4 6 0
11 2 4 7 0
7 2 4 8 0
13 2 4 9 0
8 2 4 10 0
1 2 5 0
9 2 5 1 0
15 2 5 3 0
7 2 5 4 0
15 2 5 6 0
13 2 5 7 0
21 2 5 8 0
20 2 5 9 0
14 2 5 10 0
1 2 6 0
23 2 6 1 0
11 2 6 3 0
11 2 6 4 0
12 2 6 5 0
18 2 6 7 0
12 2 6 8 0
23 2 6 9 0
11 2 6 10 0
1 2 7 0
9 2 7 1 0
15 2 7 3 0
8 2 7 4 0
8 2 7 5 0
9 2 7 6 0
13 2 7 8 0
18 2 7 9 0
13 2 7 10 0
17 2 8 1 0
12 2 8 3 0
8 2 8 4 0
18 2 8 5 0
16 2 8 6 0
11 2 8 7 0
20 2 8 9 0
15 2 8 10 0
24 2 9 1 0
22 2 9 3 0
13 2 9 4 0
13 2 9 5 0
22 2 9 6 0
17 2 9 7 0
25 2 9 8 0
27 2 9 10 0
34 2 10 1 0
13 2 10 3 0
13 2 10 4 0
11 2 10 5 0
23 2 10 6 0
15 2 10 7 0
19 2 10 8 0
25 2 10 9 0
6 3 5 0
43 3 1 2 0
40 3 1 4 0
20 3 1 5 0
27 3 1 6 0
23 3 1 7 0
40 3 1 8 0
35 3 1 9 0
18 3 1 10 0
31 3 2 1 0
15 3 2 4 0
13 3 2 5 0
18 3 2 6 0
13 3 2 7 0
16 3 2 8 0
22 3 2 9 0
16 3 2 10 0
49 3 4 1 0
19 3 4 2 0
25 3 4 5 0
43 3 4 6 0
17 3 4 7 0
39 3 4 8 0
16 3 4 9 0
25 3 4 10 0
18 3 5 1 0
14 3 5 2 0
23 3 5 4 0
19 3 5 6 0
22 3 5 7 0
13 3 5 8 0
13 3 5 9 0
21 3 5 10 0
35 3 6 1 0
22 3 6 2 0
20 3 6 4 0
20 3 6 5 0
30 3 6 7 0
29 3 6 8 0
30 3 6 9 0
26 3 6 10 0
4 3 7 0
21 3 7 1 0
21 3 7 2 0
24 3 7 4 0
18 3 7 5 0
18 3 7 6 0
18 3 7 8 0
27 3 7 9 0
16 3 7 10 0
24 3 8 1 0
24 3 8 2 0
29 3 8 4 0
32 3 8 5 0
23 3 8 6 0
18 3 8 7 0
18 3 8 9 0
32 3 8 10 0
23 3 9 1 0
27 3 9 2 0
21 3 9 4 0
17 3 9 5 0
17 3 9 6 0
25 3 9 7 0
31 3 9 8 0
28 3 9 10 0
29 3 10 1 0
12 3 10 2 0
17 3 10 4 0
10 3 10 5 0
40 3 10 6 0
23 3 10 7 0
30 3 10 8 0
25 3 10 9 0
3 4 7 0
9 4 10 0
44 4 1 2 0
54 4 1 3 0
64 4 1 5 0
92 4 1 6 0
54 4 1 7 0
56 4 1 8 0
28 4 1 9 0
36 4 1 10 0
2 4 2 0
21 4 2 1 0
11 4 2 3 0
16 4 2 5 0
12 4 2 6 0
6 4 2 7 0
18 4 2 8 0
16 4 2 9 0
15 4 2 10 0
40 4 3 1 0
29 4 3 2 0
26 4 3 5 0
32 4 3 6 0
25 4 3 7 0
31 4 3 8 0
18 4 3 9 0
39 4 3 10 0
3 4 5 0
38 4 5 1 0
17 4 5 2 0
22 4 5 3 0
46 4 5 6 0
40 4 5 7 0
30 4 5 8 0
20 4 5 9 0
26 4 5 10 0
60 4 6 1 0
21 4 6 2 0
23 4 6 3 0
55 4 6 5 0
50 4 6 7 0
59 4 6 8 0
42 4 6 9 0
34 4 6 10 0
55 4 7 1 0
8 4 7 2 0
19 4 7 3 0
40 4 7 5 0
53 4 7 6 0
35 4 7 8 0
37 4 7 9 0
22 4 7 10 0
3 4 8 0
53 4 8 1 0
17 4 8 2 0
17 4 8 3 0
31 4 8 5 0
42 4 8 6 0
28 4 8 7 0
38 4 8 9 0
46 4 8 10 0
27 4 9 1 0
18 4 9 2 0
18 4 9 3 0
19 4 9 5 0
31 4 9 6 0
19 4 9 7 0
29 4 9 8 0
26 4 9 10 0
33 4 10 1 0
16 4 10 2 0
24 4 10 3 0
29 4 10 5 0
38 4 10 6 0
24 4 10 7 0
27 4 10 8 0
46 4 10 9 0
3 5 2 0
3 5 8 0
14 5 1 2 0
18 5 1 3 0
29 5 1 4 0
37 5 1 6 0
35 5 1 7 0
27 5 1 8 0
26 5 1 9 0
29 5 1 10 0
20 5 2 1 0
17 5 2 3 0
13 5 2 4 0
8 5 2 6 0
10 5 2 7 0
14 5 2 8 0
12 5 2 9 0
12 5 2 10 0
1 5 3 0
14 5 3 1 0
11 5 3 2 0
13 5 3 4 0
21 5 3 6 0
23 5 3 7 0
18 5 3 8 0
22 5 3 9 0
23 5 3 10 0
32 5 4 1 0
8 5 4 2 0
16 5 4 3 0
36 5 4 6 0
34 5 4 7 0
33 5 4 8 0
19 5 4 9 0
24 5 4 10 0
40 5 6 1 0
17 5 6 2 0
25 5 6 3 0
45 5 6 4 0
53 5 6 7 0
54 5 6 8 0
22 5 6 9 0
50 5 6 10 0
51 5 7 1 0
22 5 7 2 0
12 5 7 3 0
40 5 7 4 0
55 5 7 6 0
54 5 7 8 0
41 5 7 9 0
50 5 7 10 0
26 5 8 1 0
8 5 8 2 0
13 5 8 3 0
27 5 8 4 0
36 5 8 6 0
34 5 8 7 0
25 5 8 9 0
41 5 8 10 0
20 5 9 1 0
12 5 9 2 0
16 5 9 3 0
16 5 9 4 0
19 5 9 6 0
24 5 9 7 0
19 5 9 8 0
26 5 9 10 0
30 5 10 1 0
19 5 10 2 0
16 5 10 3 0
25 5 10 4 0
46 5 10 6 0
38 5 10 7 0
45 5 10 8 0
35 5 10 9 0
2 6 2 0
10 6 5 0
8 6 7 0
8 6 8 0
11 6 9 0
3 6 1 0
37 6 1 2 0
50 6 1 3 0
113 6 1 4 0
75 6 1 5 0
81 6 1 7 0
85 6 1 8 0
68 6 1 9 0
95 6 1 10 0
34 6 2 1 0
22 6 2 3 0
20 6 2 4 0
28 6 2 5 0
27 6 2 7 0
32 6 2 8 0
36 6 2 9 0
25 6 2 10 0
46 6 3 1 0
17 6 3 2 0
30 6 3 4 0
24 6 3 5 0
21 6 3 7 0
33 6 3 8 0
38 6 3 9 0
27 6 3 10 0
83 6 4 1 0
22 6 4 2 0
28 6 4 3 0
56 6 4 5 0
62 6 4 7 0
54 6 4 8 0
41 6 4 9 0
63 6 4 10 0
52 6 5 1 0
26 6 5 2 0
19 6 5 3 0
57 6 5 4 0
83 6 5 7 0
71 6 5 8 0
46 6 5 9 0
67 6 5 10 0
73 6 7 1 0
28 6 7 2 0
39 6 7 3 0
63 6 7 4 0
89 6 7 5 0
90 6 7 8 0
66 6 7 9 0
67 6 7 10 0
90 6 8 1 0
43 6 8 2 0
40 6 8 3 0
69 6 8 4 0
69 6 8 5 0
90 6 8 7 0
110 6 8 9 0
88 6 8 10 0
68 6 9 1 0
47 6 9 2 0
37 6 9 3 0
50 6 9 4 0
33 6 9 5 0
72 6 9 7 0
83 6 9 8 0
119 6 9 10 0
