7 2
-7
237 1 0
132 2 0
315 3 0
218 4 0
266 5 0
217 6 0
388 7 0
19 1 2 0
27 1 3 0
33 1 6 0
35 1 7 0
16 2 3 0
10 2 4 0
8 2 5 0
12 2 6 0
11 2 7 0
15 3 1 0
27 3 2 0
14 3 4 0
19 3 6 0
20 3 7 0
23 4 1 0
15 4 2 0
28 4 5 0
26 4 6 0
24 4 7 0
6 5 2 0
13 5 3 0
23 5 4 0
65 5 6 0
27 5 7 0
35 6 1 0
19 6 2 0
11 6 3 0
37 6 4 0
51 6 5 0
31 6 7 0
40 7 1 0
12 7 2 0
22 7 4 0
38 7 5 0
42 7 6 0
20 1 4 0
26 1 5 0
93 1 2 3 0
132 1 2 4 0
132 1 2 5 0
172 1 2 6 0
106 1 2 7 0
92 1 3 2 0
78 1 3 4 0
70 1 3 5 0
67 1 3 6 0
57 1 3 7 0
130 1 4 2 0
70 1 4 3 0
156 1 4 5 0
191 1 4 6 0
143 1 4 7 0
156 1 5 2 0
85 1 5 3 0
167 1 5 4 0
479 1 5 6 0
225 1 5 7 0
182 1 6 2 0
92 1 6 3 0
260 1 6 4 0
421 1 6 5 0
241 1 6 7 0
109 1 7 2 0
82 1 7 3 0
168 1 7 4 0
220 1 7 5 0
278 1 7 6 0
9 2 1 0
53 2 1 3 0
69 2 1 4 0
75 2 1 5 0
79 2 1 6 0
56 2 1 7 0
65 2 3 1 0
54 2 3 4 0
43 2 3 5 0
49 2 3 6 0
40 2 3 7 0
65 2 4 1 0
47 2 4 3 0
74 2 4 5 0
70 2 4 6 0
52 2 4 7 0
46 2 5 1 0
54 2 5 3 0
66 2 5 4 0
74 2 5 6 0
55 2 5 7 0
75 2 6 1 0
56 2 6 3 0
75 2 6 4 0
74 2 6 5 0
61 2 6 7 0
46 2 7 1 0
39 2 7 3 0
58 2 7 4 0
60 2 7 5 0
62 2 7 6 0
8 3 5 0
110 3 1 2 0
75 3 1 4 0
76 3 1 5 0
98 3 1 6 0
64 3 1 7 0
120 3 2 1 0
70 3 2 4 0
74 3 2 5 0
81 3 2 6 0
52 3 2 7 0
76 3 4 1 0
105 3 4 2 0
58 3 4 5 0
83 3 4 6 0
59 3 4 7 0
63 3 5 1 0
46 3 5 2 0
58 3 5 4 0
53 3 5 6 0
51 3 5 7 0
66 3 6 1 0
54 3 6 2 0
59 3 6 4 0
62 3 6 5 0
57 3 6 7 0
62 3 7 1 0
46 3 7 2 0
63 3 7 4 0
64 3 7 5 0
65 3 7 6 0
13 4 3 0
108 4 1 2 0
76 4 1 3 0
128 4 1 5 0
194 4 1 6 0
114 4 1 7 0
89 4 2 1 0
67 4 2 3 0
90 4 2 5 0
103 4 2 6 0
66 4 2 7 0
67 4 3 1 0
48 4 3 2 0
50 4 3 5 0
67 4 3 6 0
58 4 3 7 0
122 4 5 1 0
66 4 5 2 0
67 4 5 3 0
212 4 5 6 0
123 4 5 7 0
191 4 6 1 0
123 4 6 2 0
89 4 6 3 0
288 4 6 5 0
250 4 6 7 0
114 4 7 1 0
87 4 7 2 0
57 4 7 3 0
140 4 7 5 0
246 4 7 6 0
30 5 1 0
112 5 1 2 0
69 5 1 3 0
162 5 1 4 0
359 5 1 6 0
155 5 1 7 0
93 5 2 1 0
65 5 2 3 0
76 5 2 4 0
115 5 2 6 0
86 5 2 7 0
37 5 3 1 0
34 5 3 2 0
56 5 3 4 0
46 5 3 6 0
45 5 3 7 0
157 5 4 1 0
126 5 4 2 0
67 5 4 3 0
250 5 4 6 0
137 5 4 7 0
614 5 6 1 0
174 5 6 2 0
89 5 6 3 0
338 5 6 4 0
705 5 6 7 0
193 5 7 1 0
79 5 7 2 0
71 5 7 3 0
174 5 7 4 0
583 5 7 6 0
151 6 1 2 0
98 6 1 3 0
262 6 1 4 0
338 6 1 5 0
261 6 1 7 0
122 6 2 1 0
71 6 2 3 0
114 6 2 4 0
119 6 2 5 0
93 6 2 7 0
88 6 3 1 0
40 6 3 2 0
73 6 3 4 0
62 6 3 5 0
69 6 3 7 0
242 6 4 1 0
127 6 4 2 0
75 6 4 3 0
295 6 4 5 0
263 6 4 7 0
532 6 5 1 0
158 6 5 2 0
109 6 5 3 0
369 6 5 4 0
527 6 5 7 0
268 6 7 1 0
110 6 7 2 0
90 6 7 3 0
342 6 7 4 0
623 6 7 5 0
18 7 3 0
118 7 1 2 0
84 7 1 3 0
164 7 1 4 0
236 7 1 5 0
318 7 1 6 0
92 7 2 1 0
70 7 2 3 0
94 7 2 4 0
90 7 2 5 0
116 7 2 6 0
63 7 3 1 0
59 7 3 2 0
63 7 3 4 0
63 7 3 5 0
80 7 3 6 0
128 7 4 1 0
121 7 4 2 0
82 7 4 3 0
213 7 4 5 0
353 7 4 6 0
239 7 5 1 0
105 7 5 2 0
81 7 5 3 0
212 7 5 4 0
744 7 5 6 0
404 7 6 1 0
160 7 6 2 0
113 7 6 3 0
389 7 6 4 0
845 7 6 5 0
0
"Travis J"
"Tschallacka"
"noɥʇʎԀʎzɐɹƆ"
"Dharman"
"Machavity"
"Makyen"
"Yvette"
"Stack Overflow Moderator Election 2020"
